	YPACETATE	YPDCAFEIN40	YPDHU	YPETHANOL	YPD14	YPDCAFEIN50	YPDKCL2M	YPGALACTOSE	YPD40	YPDCHX05	YPDLICL250MM	YPGLYCEROL	YPD42	YPDCHX1	YPDMV	YPRIBOSE	YPD6AU	YPDCUSO410MM	YPDNACL15M	YPSORBITOL	YPDANISO10	YPDDMSO	YPDNACL1M	YPXYLOSE	YPDANISO20	YPDETOH	YPDNYSTATIN	YPDANISO50	YPDFLUCONAZOLE	YPDSDS	YPDBENOMYL200	YPDFORMAMIDE4	YPDSODIUMMETAARSENITE	YPDBENOMYL500	YPDFORMAMIDE5
AAM_3.re	0.068997143	0.07133023599999999	0.311781188	0.025118322999999998	0.551821789	0.08912420199999999	0.144908525	0.015931715	0.55456393	0.084402819	0.132195241	0.009659313000000001	0.370961499	0.048813685999999995	0.055859174000000004	0.006876228000000001	0.280736777	0.663189096	0.135707211	0.014680001000000002	0.49731085799999997	0.432380849	0.184628205	0.009823183000000001	0.17592707100000002	0.23063388199999998	0.209842267	0.18255753100000002	0.38359072299999997	0.048610550999999995	0.293652126	0.154642654	0.321392591	0.294257814	0.102296981
AAN_3.re	0.142430408	0.21845936	0.646469843	0.082041407	0.712581736	0.175386132	0.093118184	0.08396190699999999	0.8169521470000001	0.804068964	0.262348028	0.030577913999999998	0.6610850739999999	0.475231612	0.281466728	0.079146316	0.531766032	0.172062925	0.118260821	0.049360441	0.982018211	0.72785203	0.157774535	0.051650523	0.8101498420000001	0.189577828	0.353481492	0.46531465299999997	1.0411541579999999	0.387158612	0.357150142	0.375281171	0.40786481	0.45080804399999996	0.321766183
AAP_3.re	0.430239069	0.131441025	0.17989514899999998	0.60341233	0.5088639970000001	0.11710557199999999	0.13088119	0.718801226	0.440355127	0.6501004220000001	0.193347916	0.5823111879999999	0.090057724	0.195016104	0.489894328	0.45708817700000004	0.502624713	0.366691434	0.24661787300000002	0.503186631	0.9209668959999999	0.329957964	0.255840478	0.447970717	0.9011854709999999	0.158897705	0.23723886100000002	0.8442828040000001	0.851869859	0.21133955	0.289620339	0.403664323	0.555611431	0.20394277100000002	0.34628632200000004
AAQ_3.re	0.37674077899999997	0.161309651	0.29515344600000004	0.448422335	0.52885883	0.135467807	0.148773886	0.905523874	0.6426042989999999	0.237240595	0.468785345	0.428975899	0.434999587	0.128261567	0.149697609	0.30206842100000003	0.331126145	0.826400756	0.270945502	0.326045034	0.7186710540000001	0.5357440720000001	0.343339813	0.345318335	0.374376912	0.280517652	0.199182832	0.161340096	0.25362434100000003	0.140131731	0.15397048800000002	0.32548419300000003	0.077943375	0.131887615	0.214730192
AAR_3.re	0.158205854	0.014175451	0.152752639	0.31916164	0.276429644	0.021517644	0.038884657999999996	0.8510933490000001	0.36407349200000005	0.005716443000000001	0.072830308	0.31367231	0.100709647	0.013962777	0.137592627	0.230621771	0.050141095999999996	0.94404702	0.071634555	0.276094298	0.038130684	0.580759496	0.165370249	0.25391592	0.04298447	0.10208113	0.079575542	0.054012008	0.24891149	0.0021984920000000002	0.099795403	0.27113678199999997	0.45549958700000004	0.062425659	0.07938329200000001
AAS_3.re	0.251406337	0.103473884	0.834583374	0.28640353399999996	0.44449226700000005	0.09175171	0.19592464399999998	0.398318619	0.695092472	0.028995652	0.139844991	0.31160746899999997	0.514165042	0.043313064000000005	0.11939938800000001	0.266483569	0.183077252	0.6033507570000001	0.155567089	0.303599317	0.216511751	0.557513033	0.244288798	0.294992003	0.055979602	0.222714255	0.13034926900000002	0.08639755199999999	0.208955235	0.30658034100000003	0.579925273	0.645341898	0.048757179000000005	0.641553447	0.341567434
AAT_3.re	0.32804206199999997	0.02254427	0.515211688	0.515108618	0.543571908	0.019966621	0.198300507	0.992136725	0.7281217320000001	0.17732325300000001	0.104054765	0.34780312399999996	0.599864311	0.047826902000000004	0.10381239699999999	0.345266453	0.331986809	0.6241337220000001	0.103495919	0.404639759	0.258058966	0.525606673	0.13116459800000002	0.385716516	0.17604488100000001	0.339745455	0.14816423	0.230427844	0.30413847	0.145743567	0.27899328100000004	0.40408342799999997	0.148899194	0.323125082	0.278171317
AAV_3.re	0.284135923	0.011103705	0.19107547	0.569200726	0.32571804600000004	0.011565589	0.06787634299999999	0.821591715	0.504414675	0.030082433999999998	0.056467135999999994	0.694658254	0.338693276	0.00596281	0.173789947	0.309222646	0.041997203	0.336294438	0.067236616	0.513900998	0.10440843300000001	0.48720568	0.21332105399999998	0.238040067	0.017282523	0.335699974	0.09828935400000001	0.034238092000000005	0.337177213	0.039391983	0.071887033	0.20481539	0.015892434	0.10894714900000001	0.072616105
ABA_3.re	0.170041078	0.29434267	0.169243542	0.34887741	0.43301433799999994	0.227438471	0.10779870400000001	0.8296120570000001	0.587103832	0.7057083209999999	0.045965255	0.315281593	0.42777010200000004	0.42239831299999997	0.238106655	0.313278868	0.17803982399999999	0.12291245099999999	0.09529838800000001	0.382827204	1.0748591029999999	0.458999359	0.183628419	0.349528446	1.186771341	0.883817422	0.062327561	1.184023483	0.78869501	0.332691391	0.16596201	0.31455720000000004	0.419797779	0.23467195	0.17630368100000002
ABB_5.re	0.385329318	0.16437197	0.321600647	0.6797414620000001	0.43386540700000004	0.138890035	0.093807567	1.085342639	0.924127613	0.203523795	0.343293147	0.438147224	0.474408702	0.066277418	0.193443555	0.355478652	0.363485079	1.213999104	0.268154949	0.498928279	0.801049239	0.35600858799999996	0.46750540799999996	0.47926352899999997	0.466510141	0.510995976	0.190549153	0.180392398	0.234597047	0.206518678	0.21171331300000001	0.387111948	0.491549051	0.215550317	0.233322597
